title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
TRUE METRIX Blood Glucose Test Strips NFRS 100ct (100 Test Strips),False,True,50635.2,10549,4.8,B085WBVJZZ,https://www.amazon.com/dp/B085WBVJZZ,TRUE,METRIX,Blood Glucose Test Strips NFRS 100ct (100 Test Strips),TRUE METRIX
Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,False,True,45470.4,9473,4.8,B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,Care,Touch,Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,Care Touch
"AZO Urinary Tract Infection (UTI) Test Strips, Accurate Results in 2 Minutes, Clinically Tested, Easy to Read Results, Cle...",False,True,41984.2,9127,4.6,B00854L57U,https://www.amazon.com/dp/B00854L57U,AZO,Urinary,"Tract Infection (UTI) Test Strips, Accurate Results in 2 Minutes, Clinically Tested, Easy to Read Results, Cle...",AZO
"CONTOUR NEXT Blood Glucose Test Strips, 70 Count",True,False,33825.6,7047,4.8,B07CF8C4VX,https://www.amazon.com/dp/B07CF8C4VX,CONTOUR,NEXT,"Blood Glucose Test Strips, 70 Count",CONTOUR NEXT
Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 50),False,False,28358.4,5908,4.8,B0727VTQGC,https://www.amazon.com/dp/B0727VTQGC,Accu-Chek,Guide,Test Strips for Diabetic Blood Glucose Testing (Pack of 50),Accu-Chek
Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 100),False,False,28358.4,5908,4.8,B087NPJX1W,https://www.amazon.com/dp/B087NPJX1W,Accu-Chek,Guide,Test Strips for Diabetic Blood Glucose Testing (Pack of 100),Accu-Chek
"TRUE METRIX Blood Glucose Test Strips, 50 Count",False,True,27576.0,5745,4.8,B013UCPRKC,https://www.amazon.com/dp/B013UCPRKC,TRUE,METRIX,"Blood Glucose Test Strips, 50 Count",TRUE METRIX
Freestyle lite glucose test strips 50 count,False,False,23424.8,4984,4.7,B075VD1JTW,https://www.amazon.com/dp/B075VD1JTW,Freestyle,lite,glucose test strips 50 count,Freestyle lite
Dario 100 Blood Glucose No Coding Needed Test Strips Cartridge Set - Only for The Dario All-in-One Lancing Device and Mete...,False,True,21756.3,4629,4.7,B07JPYMWYZ,https://www.amazon.com/dp/B07JPYMWYZ,Dario,100,Blood Glucose No Coding Needed Test Strips Cartridge Set - Only for The Dario All-in-One Lancing Device and Mete...,Dario
"ReliOn Prime Blood Glucose Test Strips, 100 Count, Single Pack",False,False,19848.0,4135,4.8,B018F4BVDM,https://www.amazon.com/dp/B018F4BVDM,ReliOn,Prime,"Blood Glucose Test Strips, 100 Count, Single Pack",ReliOn Prime
OneTouch Verio Test Strips for Diabetes Value Pack - 60 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,False,True,15792.0,3290,4.8,B08L473F6W,https://www.amazon.com/dp/B08L473F6W,OneTouch,Verio,Test Strips for Diabetes Value Pack - 60 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,OneTouch Verio
6 x 50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),False,True,15393.6,3207,4.8,B01LW1A51V,https://www.amazon.com/dp/B01LW1A51V,6,x,50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),TRUE METRIX
OneTouch Verio Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home...,False,True,13606.5,2895,4.7,B08FXRYSPG,https://www.amazon.com/dp/B08FXRYSPG,OneTouch,Verio,Test Strips for Diabetes - 30 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home...,OneTouch Verio
