asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B0727VTQGC,https://www.amazon.com/dp/B0727VTQGC,28358.40,False,False,False,False,Sponsored Ad - Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 50),https://m.media-amazon.com/images/I/714JiizOqtL._AC_UL320_.jpg,1,2,1,False,24.99,USD,0.0,0.0,0.0,5908,4.8
B07CF8C4VX,https://www.amazon.com/dp/B07CF8C4VX,33825.60,False,False,True,False,"CONTOUR NEXT Blood Glucose Test Strips, 70 Count",https://m.media-amazon.com/images/I/81aPkB4QWVL._AC_UL320_.jpg,1,5,2,True,23.99,USD,26.58,2.59,9.74,7047,4.8
B06XJG1KS9,https://www.amazon.com/dp/B06XJG1KS9,6825.70,False,False,False,True,6 x 50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),https://m.media-amazon.com/images/I/71ehsIk4x2L._AC_UL320_.jpg,1,6,3,True,53.0,USD,60.0,7.0,11.67,1393,4.9
B06XHXXCVV,https://www.amazon.com/dp/B06XHXXCVV,10636.80,False,False,False,True,3 x 50ct TRUE METRIX® NFRS Test Strips (150 Test Strips),https://m.media-amazon.com/images/I/61dQiW53kjL._AC_UL320_.jpg,1,7,4,False,30.0,USD,0.0,0.0,0.0,2216,4.8
B00Y4KOBWK,https://www.amazon.com/dp/B00Y4KOBWK,6182.40,False,False,False,True,True Metrix Blood Glucose Test Strips Box of 50,https://m.media-amazon.com/images/I/6127qkwgavL._AC_UL320_.jpg,1,8,5,True,12.45,USD,18.29,5.84,31.93,1288,4.8
B08L473F6W,https://www.amazon.com/dp/B08L473F6W,15792.00,False,False,False,True,OneTouch Verio Test Strips for Diabetes Value Pack - 60 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Sel...,https://m.media-amazon.com/images/I/719i6B5r-2L._AC_UL320_.jpg,1,9,6,False,37.5,USD,0.0,0.0,0.0,3290,4.8
B085WBVJZZ,https://www.amazon.com/dp/B085WBVJZZ,50635.20,False,False,False,True,TRUE METRIX Blood Glucose Test Strips NFRS 100ct (100 Test Strips),https://m.media-amazon.com/images/I/819izUDe3BL._AC_UL320_.jpg,1,10,7,True,20.0,USD,24.0,4.0,16.67,10549,4.8
B01F69L0U8,https://www.amazon.com/dp/B01F69L0U8,7852.80,False,False,False,False,Prodigy Test Strip Bundle (300ct),https://m.media-amazon.com/images/I/71mJJbR+oNL._AC_UL320_.jpg,1,11,8,False,39.86,USD,0.0,0.0,0.0,1636,4.8
B07VB22PNT,https://www.amazon.com/dp/B07VB22PNT,2707.20,False,False,False,True,"Metene TD-4116 Blood Glucose Test Strips, 100 Count Blood Sugar Test Strips for Diabetes, Use with metene TD-4116 Blood Gl...",https://m.media-amazon.com/images/I/71160PqPGPL._AC_UL320_.jpg,1,12,9,False,21.99,USD,0.0,0.0,0.0,576,4.7
B09RQPGF4R,https://www.amazon.com/dp/B09RQPGF4R,303.60,False,False,False,True,Blood Glucose Lite Test Strips 100CT,https://m.media-amazon.com/images/I/41QD0F8S3oL._AC_UL320_.jpg,1,13,10,True,43.73,USD,64.0,20.27,31.67,66,4.6
B075VD1JTW,https://www.amazon.com/dp/B075VD1JTW,23424.80,False,False,False,False,Freestyle lite glucose test strips 50 count,https://m.media-amazon.com/images/I/61CsR+RulpL._AC_UL320_.jpg,1,14,11,True,25.0,USD,32.49,7.49,23.05,4984,4.7
B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,45470.40,False,False,False,True,Sponsored Ad - Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of ...,https://m.media-amazon.com/images/I/71xi00Rr7WS._AC_UL320_.jpg,1,15,12,False,22.99,USD,0.0,0.0,0.0,9473,4.8
B073V38KDK,https://www.amazon.com/dp/B073V38KDK,5793.60,False,False,False,False,"FreeStyle Precision Neo Blood Glucose Test Strips - 50 ct, Pack of 2",https://m.media-amazon.com/images/I/61SGOpuMNPL._AC_UL320_.jpg,1,16,13,True,48.5,USD,51.0,2.5,4.9,1207,4.8
B01LW1A51V,https://www.amazon.com/dp/B01LW1A51V,15393.60,False,False,False,True,6 x 50 ct TRUE METRIX® NFRS Test Strips (300 Test Strips),https://m.media-amazon.com/images/I/71ehsIk4x2L._AC_UL320_.jpg,1,17,14,False,53.0,USD,0.0,0.0,0.0,3207,4.8
B094DRQ926,https://www.amazon.com/dp/B094DRQ926,784.90,False,False,False,False,OneTouch Verio Test Strips for Diabetes Value Pack - 180 Count | Diabetic Test Strips for Blood Sugar Monitor | at Home Se...,https://m.media-amazon.com/images/I/71gbpZ72bwL._AC_UL320_.jpg,1,18,15,True,88.54,USD,99.99,11.45,11.45,167,4.7
B08L43FQ1S,https://www.amazon.com/dp/B08L43FQ1S,9384.00,False,False,False,True,2 x 50ct TRUE METRIX® NFRS Test Strips (100 Test Strips),https://m.media-amazon.com/images/I/61JqACmwyrL._AC_UL320_.jpg,1,19,16,True,21.0,USD,22.0,1.0,4.55,1955,4.8
B00NF44GU8,https://www.amazon.com/dp/B00NF44GU8,4038.80,False,False,False,False,Ultra Test Strips Blue 25 Ct,https://m.media-amazon.com/images/I/71MpYaA-rQL._AC_UL320_.jpg,1,20,17,False,32.98,USD,0.0,0.0,0.0,878,4.6
