title,bestSeller,amazonPrime,score,total_reviews,rating,asin,url,brand1,brand2,spec,brand
"Blood Glucose Monitor Kit - Diabetes Testing Kit with 1 Glucometer, 100 Blood Sugar Test Strips, 1 Lancing Device, 100 Lan...",True,True,124264.4,27014,4.6,B076VSN7TR,https://www.amazon.com/dp/B076VSN7TR,Blood,Glucose,"Monitor Kit - Diabetes Testing Kit with 1 Glucometer, 100 Blood Sugar Test Strips, 1 Lancing Device, 100 Lan...",Care Touch
TRUE METRIX Blood Glucose Test Strips NFRS 100ct (100 Test Strips),False,True,50635.2,10549,4.8,B085WBVJZZ,https://www.amazon.com/dp/B085WBVJZZ,TRUE,METRIX,Blood Glucose Test Strips NFRS 100ct (100 Test Strips),TRUE METRIX
DARIO Blood Glucose Monitor Kit Test Your Blood Sugar Levels and Estimate A1c After 3m. Kit Includes: Glucose-Meter with 2...,False,True,41039.2,9544,4.3,B07G3BNXR6,https://www.amazon.com/dp/B07G3BNXR6,DARIO,Blood,Glucose Monitor Kit Test Your Blood Sugar Levels and Estimate A1c After 3m. Kit Includes: Glucose-Meter with 2...,DARIO Blood
Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of 100 Diabetic Te...,False,True,45470.4,9473,4.8,B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,Care,Touch,Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of 100 Diabetic Te...,Care Touch
"AUVON Blood Sugar Test Kit, High-Tech Glucose Monitor, Diabetes Testing Kit with 50 Glucometer Strips and 50 30G Lancets, ...",False,True,32453.0,7055,4.6,B07TVLNL4Q,https://www.amazon.com/dp/B07TVLNL4Q,AUVON,Blood,"Sugar Test Kit, High-Tech Glucose Monitor, Diabetes Testing Kit with 50 Glucometer Strips and 50 30G Lancets, ...",AUVON Blood
"CONTOUR NEXT Blood Glucose Test Strips, 70 Count",True,False,33825.6,7047,4.8,B07CF8C4VX,https://www.amazon.com/dp/B07CF8C4VX,CONTOUR,NEXT,"Blood Glucose Test Strips, 70 Count",CONTOUR NEXT
Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 100),False,False,28358.4,5908,4.8,B087NPJX1W,https://www.amazon.com/dp/B087NPJX1W,Accu-Chek,Guide,Test Strips for Diabetic Blood Glucose Testing (Pack of 100),Accu-Chek Guide
Care Touch Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (300 Co...,False,True,25867.2,5389,4.8,B07199BSMC,https://www.amazon.com/dp/B07199BSMC,Care,Touch,Multi Colored Diabetic Lancets 30 Gauge - Lancets for Diabetes Testing and Blood Testing (300 Co...,Care Touch
KETO-MOJO GK+ Bluetooth Glucose & Ketone Testing Kit + Free APP for Ketosis & Diabetes Management. 20 Blood Test Strips (1...,False,True,24088.5,5353,4.5,B08G5BZQVL,https://www.amazon.com/dp/B08G5BZQVL,KETO-MOJO,GK+,Bluetooth Glucose & Ketone Testing Kit + Free APP for Ketosis & Diabetes Management. 20 Blood Test Strips (1...,KETO-MOJO GK+
Freestyle lite glucose test strips 50 count,False,False,23424.8,4984,4.7,B075VD1JTW,https://www.amazon.com/dp/B075VD1JTW,Freestyle,lite,glucose test strips 50 count,Freestyle lite
Dario 100 Blood Glucose No Coding Needed Test Strips Cartridge Set - Only for The Dario All-in-One Lancing Device and Mete...,False,True,21756.3,4629,4.7,B07JPYMWYZ,https://www.amazon.com/dp/B07JPYMWYZ,Dario,100,Blood Glucose No Coding Needed Test Strips Cartridge Set - Only for The Dario All-in-One Lancing Device and Mete...,Dario 100
"Accu-Chek Instant S Glucometer with Free Test Strips, 10 Count (White)",False,True,18627.0,4435,4.2,B07B6LYFV4,https://www.amazon.com/dp/B07B6LYFV4,Accu-Chek,Instant,"S Glucometer with Free Test Strips, 10 Count (White)",Accu-Chek Instant
