asin,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,position.page,position.position,position.global_position,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews.total_reviews,reviews.rating
B076VSN7TR,https://www.amazon.com/dp/B076VSN7TR,124264.40,False,False,True,True,"Blood Glucose Monitor Kit - Diabetes Testing Kit with 1 Glucometer, 100 Blood Sugar Test Strips, 1 Lancing Device, 100 Lan...",https://m.media-amazon.com/images/I/81EZb2+YuKL._AC_UL320_.jpg,1,1,1,False,0,USD,0.0,0.0,0,27014,4.6
B06WD5HRM8,https://www.amazon.com/dp/B06WD5HRM8,5322.20,False,False,False,False,"Easy Touch Eas-150 Easytouch Glucose Test Strip, 150 Count (Pack of 150)",https://m.media-amazon.com/images/I/51wBoCNWj3L._AC_UL320_.jpg,1,2,2,False,0,USD,0.0,0.0,0,1157,4.6
B087NPJX1W,https://www.amazon.com/dp/B087NPJX1W,28358.40,False,False,False,False,Accu-Chek Guide Test Strips for Diabetic Blood Glucose Testing (Pack of 100),https://m.media-amazon.com/images/I/71imFW8YsAL._AC_UL320_.jpg,1,3,3,False,0,USD,0.0,0.0,0,5908,4.8
B07VB22PNT,https://www.amazon.com/dp/B07VB22PNT,2707.20,False,False,False,True,"Metene TD-4116 Blood Glucose Test Strips, 100 Count Blood Sugar Test Strips for Diabetes, Use with metene TD-4116 Blood Gl...",https://m.media-amazon.com/images/I/71160PqPGPL._AC_UL320_.jpg,1,4,4,False,0,USD,0.0,0.0,0,576,4.7
B07TVLNL4Q,https://www.amazon.com/dp/B07TVLNL4Q,32453.00,False,False,False,True,"AUVON Blood Sugar Test Kit, High-Tech Glucose Monitor, Diabetes Testing Kit with 50 Glucometer Strips and 50 30G Lancets, ...",https://m.media-amazon.com/images/I/71V3ihtTarL._AC_UL320_.jpg,1,5,5,True,0,USD,28.99,28.99,100,7055,4.6
B0794DFH6F,https://www.amazon.com/dp/B0794DFH6F,45470.40,False,False,False,True,Care Touch Blood Glucose Test Strips for Diabetes I For Use with Care Touch Blood Sugar Monitor - 1 Box of 100 Diabetic Te...,https://m.media-amazon.com/images/I/71xi00Rr7WS._AC_UL320_.jpg,1,6,6,False,0,USD,0.0,0.0,0,9473,4.8
B079NSYQN3,https://www.amazon.com/dp/B079NSYQN3,7300.80,False,False,False,True,5 x 50ct TRUE METRIX® NFRS Test Strips (250 Test Strips),https://m.media-amazon.com/images/I/71r0dsIfBsL._AC_UL320_.jpg,1,7,7,True,0,USD,50.0,50.0,100,1521,4.8
B07KCDCBFC,https://www.amazon.com/dp/B07KCDCBFC,2508.00,False,False,False,True,Reliable Diathrive Blood Sugar Test Kit & Blood Glucose Monitoring System – 4 Second Results! Glucometer/Glucose Meter Kit...,https://m.media-amazon.com/images/I/81uFA6SNCwL._AC_UL320_.jpg,1,8,8,False,0,USD,0.0,0.0,0,570,4.4
B07Z3RX8F1,https://www.amazon.com/dp/B07Z3RX8F1,18196.80,False,False,False,True,AUVON I-QARE DS-W Draw-in Blood Glucose Test Strips (150 Count) for use with AUVON DS-W Diabetes Sugar Testing Meter (No C...,https://m.media-amazon.com/images/I/71oxRLoqjpL._AC_UL320_.jpg,1,9,9,False,0,USD,0.0,0.0,0,3791,4.8
B081ZY1LHV,https://www.amazon.com/dp/B081ZY1LHV,14582.00,False,False,False,True,"AUVON High-Tech Blood Sugar Test Kit, Diabetes Glucose Monitor with 100 Glucometer Strips, 100 Lancets and I-QARE DS-W Blo...",https://m.media-amazon.com/images/I/81qIlUsuT9L._AC_UL320_.jpg,1,10,10,True,0,USD,35.99,35.99,100,3170,4.6
